["Baki", "13-00"]	[40, 40]
["Baki", "14-00"]	[60, 60]
["Baki", "15-00"]	[55, 55]
["Baki", "16-00"]	[67, 67]
["Baki", "17-00"]	[70, 70]
["Baki", "18-00"]	[80, 80]
["Gence", "13-00"]	[17, 17]
["Gence", "14-00"]	[21, 21]
["Gence", "15-00"]	[33, 33]
["Gence", "16-00"]	[35, 35]
["Gence", "17-00"]	[41, 41]
["Gence", "18-00"]	[38, 38]
["Sumqayit", "13-00"]	[30, 30]
["Sumqayit", "14-00"]	[26, 26]
["Sumqayit", "15-00"]	[52, 52]
["Sumqayit", "16-00"]	[41, 41]
["Sumqayit", "17-00"]	[49, 49]
["Sumqayit", "18-00"]	[55, 55]
