iter	Logloss
0	0.6402373303
1	0.5921364632
2	0.5514711653
3	0.5197085593
4	0.4926972454
5	0.4716607494
6	0.4494238064
7	0.4263166514
8	0.4036305408
9	0.389677557
10	0.376059808
11	0.3622279587
12	0.3489894694
13	0.3398056899
14	0.328712632
15	0.3208802912
16	0.3089919769
17	0.30246068
18	0.2966556128
19	0.2860357149
20	0.2799160028
21	0.2744643358
22	0.2670850881
23	0.2608461968
24	0.255374521
25	0.251020491
26	0.2454377757
27	0.2415322071
28	0.237508625
29	0.2327990617
30	0.2300814399
31	0.2275796588
32	0.2247301272
33	0.219486432
34	0.2159754662
35	0.2117709307
36	0.2081398338
37	0.2055425731
38	0.2034514503
39	0.1997919368
40	0.1975056065
41	0.1934123099
42	0.1905679352
43	0.1883841937
44	0.18609171
45	0.1824975707
46	0.1801044056
47	0.1769156375
48	0.1754651319
49	0.1733947668
50	0.1719891665
51	0.1708193458
52	0.1692335418
53	0.1681593522
54	0.1660490553
55	0.1635478878
56	0.1618470026
57	0.1599338352
58	0.1581728367
59	0.1563872968
60	0.1538051489
61	0.1511131688
62	0.1496801131
63	0.147353955
64	0.1463026199
65	0.145959553
66	0.1441998303
67	0.1425053391
68	0.1411091275
69	0.1394666185
70	0.1379076015
71	0.1361620891
72	0.1352820424
73	0.1337141565
74	0.1325865047
75	0.1315160171
76	0.1309329222
77	0.1298452008
78	0.128076633
79	0.1268499997
80	0.1261178397
81	0.1244577421
82	0.1228702525
83	0.1214047931
84	0.1204132661
85	0.1192032347
86	0.1181813353
87	0.117115922
88	0.1165299739
89	0.1152525815
90	0.1134332015
91	0.1126057883
92	0.1115066128
93	0.1107750174
94	0.1093095875
95	0.1077764823
96	0.1068275702
97	0.1059286944
98	0.1050841873
99	0.1040909471
