iter	Passed	Remaining
0	126	12559
1	128	6289
2	129	4185
3	129	3119
4	131	2491
5	132	2069
6	133	1769
7	133	1538
8	135	1365
9	136	1225
10	137	1110
11	138	1014
12	139	932
13	139	859
14	140	797
15	141	744
16	142	696
17	143	654
18	144	616
19	145	582
20	147	553
21	148	525
22	148	498
23	149	474
24	150	452
25	151	431
26	152	412
27	153	395
28	154	378
29	155	363
30	156	348
31	157	335
32	158	322
33	159	310
34	160	298
35	161	287
36	162	277
37	163	267
38	164	257
39	165	248
40	166	239
41	167	231
42	168	223
43	169	215
44	170	207
45	171	200
46	172	194
47	172	187
48	173	181
49	174	174
50	175	168
51	176	163
52	177	157
53	178	152
54	179	146
55	180	141
56	181	136
57	182	131
58	183	127
59	184	122
60	184	118
61	185	113
62	187	109
63	187	105
64	188	101
65	190	97
66	191	94
67	192	90
68	193	86
69	194	83
70	195	79
71	196	76
72	197	72
73	198	69
74	199	66
75	200	63
76	201	60
77	202	57
78	203	54
79	204	51
80	205	48
81	206	45
82	207	42
83	208	39
84	209	36
85	210	34
86	211	31
87	212	28
88	212	26
89	213	23
90	214	21
91	215	18
92	216	16
93	217	13
94	218	11
95	219	9
96	219	6
97	220	4
98	221	2
99	222	0
